Nombre;Tipo;Categoria;Varios;Poblacion;Municipio;Coordenadas;Identificador;Fecha;Categoría de imágenes en Commons;
Palacio de los Marqueses de Valbuena;Monumento;Palacio;;Medio Cudeyo;Solares;43°23′06″N 3°44′22″O;RI-51-0005047;21 de diciembre de 1984;Principal: Palace of Marquesses of Valbuena
Cueva de Hornos de la Peña;Monumento;Cueva;;San Felices de Buelna;Tarriba;;RI-51-0000268;25 de abril de 1924;Principal: Hornos de la Pena cave
Casa del Padre Rábago;Sitio histórico;;;Polaciones;Tresabuela;43°05′10″N 4°25′41″O;RI-54-0000184;22 de enero de 2004;Principal: House of Padre Rábago
Rollo Heráldico;Monumento;;;Villafufre;Vega de Villafufre;43°15′29″N 3°50′57″O;RI-51-0010785;3 de abril de 2002;Principal: Rollo heráldico de Villafufre
Torre Medieval de Velo de Puente Arce;Monumento;Torre;;Piélagos;Velo de Puente Arce;43°24′25″N 3°56′06″O;RI-51-0004955;13 de octubre de 1983;Principal: Tower of Velo
Cueva de los Marranos;Monumento;Período: Paleolítico;;Lamasón;Venta de Fresnedo;;RI-51-0010520;22 de marzo de 2000;
Iglesia de Santa María la Mayor;Monumento;Iglesia;;Hermandad de Campóo de Suso;Villacantid.;43°00′13″N 4°12′26″O;RI-51-0004566;15 de enero de 1982;
Iglesia de Santa Cecilia;Monumento;Iglesia;;Santiurde de Toranzo;Villasevil;43°15′10″N 3°56′10″O;RI-51-0004284;23 de junio de 1978;
Torre de Villegas;Monumento;Torre;;Santiurde de Toranzo;Villasevil;;RI-51-0007171;4 de febrero de 1992;
Iglesia de Santa María;Monumento;Iglesia;;Cartes;Yermo;43°18′29″N 4°04′56″O;RI-51-0000345;4 de julio de 1930;Principal: Church of Santa María, Yermo
Casona de Espina con su torre y portalada;Monumento;Casa;;Ampuero;Ampuero;43°20′31″N 3°24′34″O;RI-51-0007322;7 de diciembre de 1994;Principal: Casona de Espina
Iglesia de Santa Marina;Monumento;Iglesia;;Ampuero;Udalla;43°19′07″N 3°26′48″O;RI-51-0004969;2 de noviembre de 1983;Principal: Church of Santa Marina, Udalla
Iglesia Románica de San Andrés;Monumento;Arquitectura religiosa;Estilo: Románico;Anievas;Cotillo;43°12′07″N 4°00′06″O;RI-51-0004567;15 de enero de 1982;Principal: Church of San Andrés, Cotillo
Iglesia de Nuestra Señora de la Asunción;Monumento;Iglesia;;Arnuero;Arnuero;43°28′22″N 3°33′47″O;RI-51-0005266;18 de marzo de 1993;Principal: Church of Nuestra Señora de la Asunción, Arnuero
Iglesia Parroquial de San Pelayo;Monumento;Iglesia;;Arredondo;Arredondo;43°16′29″N 3°36′07″O;RI-51-0005202;20 de julio de 1988;Principal: Church of San Pelayo, Arredondo
Palacio y Capilla de Rugama ;Monumento;Palacio;;Bárcena de Cicero;Gama;43°24′43″N 3°30′21″O;RI-51-0004878;11 de mayo de 1983;Principal: Palace and chapel of Rugama
Camino Real de Las Hoces;Monumento;Vía de tránsito;;Bárcena de Pie de Concha;Bárcena de Pie de Concha;;RI-51-0011528;14 de octubre de 2005;Principal: Camino real de las Hoces in Bárcena Pie de Concha
Iglesia de Santa María;Monumento;Iglesia;;Bareyo;Bareyo;43°28′21″N 3°35′46″O;RI-51-0004285;23 de junio de 1978;Principal: Santa María de Bareyo
Casona de Carrejo;Monumento;;;Cabezón de la Sal;Carrejo;43°17′38″N 4°14′17″O;RI-51-0005043;20 de diciembre de 1984;Principal: Casona de Carrejo
Museo de la Naturaleza de Cantabria;Casa;;;Cabezón de la Sal;Carrejo;;;;
Conjunto Histórico Artístico la Villa;Conjunto histórico artístico;;;Cartes;Cartes;43°19′34″N 4°04′08″O;RI-53-0000332;29 de marzo de 1985;Principal: Conjunto histórico artístico de la villa de Cartes, Cantabria
Casa de los Chelines;Monumento;;;Castro Urdiales;Castro Urdiales;43°23′03″N 3°13′02″O;RI-51-0005335;16 de octubre de 1991;Principal: Casa de los Chelines
Casa para Isidra del Cerro ;Monumento;Casa;;Castro Urdiales;Castro Urdiales;43°22′48″N 3°13′02″O;RI-51-0005334;16 de noviembre de 1990;Principal: Casa para Isidra del Cerro
"Casa-palacio ""Residencia Pedro Velarde"" ";Monumento;Casa;;Castro Urdiales;Castro Urdiales;43°22′37″N 3°12′53″O;RI-51-0006818;26 de abril de 1993;Principal: Casa-palacio Residencia Pedro Velarde
Cementerio Municipal de Ballena;Monumento;Cementerio;;Castro Urdiales;Castro Urdiales;43°23′36″N 3°13′30″O;RI-51-0007398;7 de diciembre de 1994;Principal: Municipal cementery of La Ballena
Chalet de los San Martín;Monumento;Casa;;Castro Urdiales;Castro Urdiales;43°22′41″N 3°12′58″O;RI-51-0005284;6 de agosto de 1992;Principal: Chalet de los San Martín
Chalet Sotileza;Monumento;Casa;;Castro Urdiales;Castro Urdiales;43°22′31″N 3°12′50″O;RI-51-0005336;12 de mayo de 1989;
Conducción de Aguas de El Chorrillo;Zona arqueológica;;;Castro Urdiales;Castro Urdiales;43°22′56″N 3°13′27″O;RI-55-0000858;26 de enero de 2006;
Conjunto Histórico de Castro Urdiales;Conjunto histórico;;;Castro Urdiales;Castro Urdiales;43°23′05″N 3°12′54″O;RI-53-0000513;21 de noviembre de 2000;Principal: Castro Urdiales
Cueva Aurelia;Monumento;Cueva;;Castro Urdiales;Castro Urdiales;;RI-51-0010521;22 de marzo de 2000;
Cueva del Cuco;Zona arqueológica;;;Castro Urdiales;Castro Urdiales;;RI-55-0000517;6 de junio de 1996;
Iglesia de Santa María;Monumento;Iglesia;;Castro Urdiales;Castro Urdiales;43°23′04″N 3°12′56″O;RI-51-0000855;3 de junio de 1931;Principal: Church of Santa María de la Asunción, Castro Urdiales
Jardín de los Ocharan;Jardín histórico;;;Castro Urdiales;Castro Urdiales;43°22′32″N 3°13′02″O;RI-52-0000059;20 de diciembre de 1984;Principal: Jardín de los Ocharan
